author	bookid	bpoids	htrcids	genres	subjects	title	pubdate
Lysons Samuel	B4813	{8653666}	{'nyp.33433074875430'}		{'Roman period, 55 B.C.-449 A.D', 'History'}	Claudia and Pudens or The early Christians of Gloucestera tale of the first century	1819
Brady Cyrus Townsend	B799	{8895059}	{'uc1.b3322028'}		{'United States', 'History', 'Civil War, 1861-1865'}	A little traitor to the South a wartime comedy with a tragic interlude	1903
James G P R George Payne Rainsford	B4261	{4995976}	{'njp.32101067647790', 'njp.32101067647816', 'njp.32101067647808'}		{'English fiction', '823J23W1849', 'Richard III, 1483-1585', 'History'}	The woodmana romance of the times of Richard III	1849
Hewlett J Joseph	B3606	{4968743}	{'njp.32101063581167'}		{'Civil War, 1642-1649', 'History'}	Dunster Castlean historical romance of the Great Rebellion	1846
Glascock W N William Nugent	B3088	{6140732}	{'nyp.33433008489217'}		{'Great Britain', 'History', 'Royal Navy'}	Naval sketchbook or The service afloat and ashore with characteristic reminiscences fragments and opinions	1834
MacFarlane Charles	B5220	{4691108}	{'hvd.hwnp7a', 'hvd.hwnp79'}		{'History'}	The romance of historyItaly	1832
Gras Félix	B3189	{3169911}	{'uc1.$b254626'}		{'Revolution, 1789-1799', 'France', 'History'}	The reds of the Midi	1896
McCarthy Justin HJustin Huntly	B5310	{6772962, 8877946}	{'mdp.39015063933181'}	{'ContainsBiogMaterial'}	{'In literature', 'Louis XI, 1461-1483', 'b. 1431', 'Villon, François', 'Villon, François', 'History'}	If I were king	1901
Beecher Henry Ward Mrs	B729	{8771387}	{'nyp.33433084129067'}		{'Description and travel', 'Village communities', 'History', 'New England', 'Civil War, 1861-1865'}	Norwood or Village life in New England	1867
Kingsley Henry	B4586	{8441650, 8632494, 6246198}	{'uc2.ark+=13960=t2q52mj1f', 'uc2.ark+=13960=t3nv9gf05', 'uc2.ark+=13960=t6vx0cc6w', 'pst.000049906899'}	{'Bibliographies'}	{'Australian fiction', '1788-1900', 'Shorter, Clement King', '1857-1926', 'Australia', 'Frontier and pioneer life', 'History', 'British'}	The recollections of Geoffry Hamlyn	1859
Pemberton Max Sir	B6532	{6666984}	{'nyp.33433075765242'}	"{'Pictorial cloth bindings (Binding)', ""Publishers' cloth bindings (Binding)"", 'United States', 'History'}"	{'Venice (Italy)', 'History', 'Short stories'}	The signors of the nightthe story of Fra Giovanni the soldiermonk of Venice and of others in the Silent Cityby Max Pemberton	1899
Mitchell S Weir Silas Weir	B5671	{3169768}	{'uc2.ark+=13960=t0rr1pp38'}		{'Revolution, 1789-1799', 'France', 'History', 'Revolution'}	The adventures of Franois	1898
Silone Ignazio	B7417	{2492356}	{'mdp.39015076846669'}		{'1922-1945', 'History'}	Fontamara	1938
Forster E M Edward Morgan	B2672	{9071402}	{'mdp.39015005111680', 'pst.000029721290'}	{'Edwardian novels', 'Historical fiction'}	{'Social conflict', '20th century', 'Man-woman relationships', 'England', 'Sisters', 'Social life and customs', 'Inheritance and succession'}	Howards End	1911
Trumbull Annie Eliot	B8128	{9220983}	{'nyp.33433076042195'}		{'History', 'Colonial period, ca. 1600-1775'}	Mistress Content Cradock	1899
Sienkiewicz Henryk	B7627	{8848985}	{'uc1.b4795728', 'uc1.b4795729'}		{'John II Casimir, 1648-1668', 'History'}	The delugean historical novel of Poland Sweden and Russiaa sequel to With fire and sword	1891
Mundy Talbot	B6080	{3210732}	{'mdp.39015009020440'}	{'War stories', 'History', 'Historical fiction', 'Love stories'}		Kingof the Khyber rifles a rom	1916
Fox John	B2894	{8888841, 6802490, 3180869}	{'uva.x004639182'}		{'United States', 'History', 'Civil War, 1861-1865'}	The little shepherd of Kingdom Come	1903
Doyle Arthur Conan Sir	B2386	{3173273, 8776378}	{'uiuo.ark+=13960=t49p3rf71', 'uiuo.ark+=13960=t53f5g07n', 'uiuo.ark+=13960=t2988xr4w'}		{'Huguenots', 'To 1763 (New France)', 'France', 'Canada', 'Louis XIV, 1643-1715', 'History'}	The refugees	1893
Zilahy Lajos	B9074	{3238186}	{'uc1.b3456907'}		{'1872-1945', 'Prisoners and prisons', 'History', 'World War, 1914-1918'}	Two prisoners	1931
Jókai Mór	B4269	{8856329}	{'nyp.33433074389531'}		{'History', '1699-1848'}	The nameless castlea novel	1898
Crumpe	B1816	{4700855}	{'uiuo.ark+=13960=t0dv1w173', 'uiuo.ark+=13960=t5j96gx5t', 'uiuo.ark+=13960=t9j393d7p'}		{'Ireland', '1558-1603', 'History'}	Geraldine of Desmond or Ireland in the reign of Elizabeth	1829
Sedgwick Catharine Maria	B7529	{4699031}	{'nyp.33433076029788', 'nyp.33433076029796'}	{'Bibliographies'}	{'Revolution, 1775-1783', 'Domestic fiction', 'History', 'American loyalists'}	The Linwoodsor Sixty years since in America	1835
Aldanov Mark Aleksandrovich	B136	{3215108}	{'uc1.b4398257'}		{'Revolution, 1789-1799', 'History'}	The ninth Thermidor	1926
Crane Stephen	B1861	{3178467}	{'uva.x000208724'}	{'Bibliographies'}	{'Chancellorsville, Battle of, Chancellorsville, Va., 1863', 'History', 'Civil War, 1861-1865'}	The red badge of courage an episode of the American civil war	1900
Mundy Talbot	B5256	{3210732}	{'mdp.39015009020440'}	{'War stories', 'History', 'Historical fiction', 'Love stories'}	{'Sepoy Rebellion, 1857-1858', 'India', 'History', 'British'}	Kingof the Khyber rifles a romance of adventure	1916
Colquhoun Katharine	B1823	{4444035}	{'uiuo.ark+=13960=t3vt1zp31', 'uiuo.ark+=13960=t9474q59q', 'uiuo.ark+=13960=t15m6j33h'}		{'Saxony (Germany)', '1423-1815', '1521-1553', 'Elector of Saxony', 'History', 'Maurice'}	Maurice the Elector of Saxony	1844
Stephens Robert Neilson	B7519	{9232322}	{'nyp.33433076021850'}		{'Revolution, 1775-1783', 'History'}	The continental dragoon a love story of Philipse manorhouse in 1778	1898
Scott John Reed	B7724	{8921202, 6817467}	{'uc2.ark+=13960=t73t9g924'}		{'Great Britain', 'House of York, 1461-1485', 'History'}	Beatrix of Clare	1907
Hogg James	B3695	{4693853}	{'nyp.33433074868187'}		{'English fiction', '17th century', 'History', 'Scottish authors'}	Tales of the wars of Montrose	1835
Parrish Randall	B6650	{9282476}	{'uc2.ark+=13960=t3319sj8v'}		{'United States', 'History', 'Civil War, 1861-1865'}	My lady of the North	1904
Radcliffe Ann Ward	B6910	{4693237}	{'mdp.39015028095787'}	{'ContainsBiogMaterial'}	{'History', 'Henry III, 1216-1272'}	Gaston de Blondeville or The court of Henry IIIA romance	1823
Bird Robert Montgomery	B1081	{8893062}	{'wu.89099908337', 'wu.89099908345'}		{'Conquest, 1519-1540', 'History'}	Calavar or The knight of the conquest a romance of Mexico	1834
Allardyce Alexander	B196	{8595958}	{'uiuo.ark+=13960=t17m0j24w', 'uiuo.ark+=13960=t2794f36r'}		{'Calcutta (India)', 'English fiction', 'History'}	The city of sunshine	1877
Snaith J C John Collis	B7717	{2437219}	{'uc2.ark+=13960=t6sx66845'}		{'Great Britain', 'History', 'Revolution of 1688'}	Mistress Dorothy Marvin	1896
Charles Elizabeth Rundle	B1615	{8629380}	{'nyp.33433074970546'}		{'To 1485', 'History'}	The early dawn or Sketches of Christian life in England in the olden time	1864
Fitchett W H William Henry	B2760	{8910747}	{'nyp.33433075727135'}		{'Revolution, 1789-1799', 'Napoleon', 'History', '1769-1821', 'Emperor of the French'}	A pawn in the game	1907
Yonge Charlotte M Charlotte Mary	B9040	{4858307, 9432483}	{'uiuo.ark+=13960=t4hm5wv4j', 'uiuo.ark+=13960=t11n8rr4v'}	{'Bibliographies'}	{'Maximilian', 'Maximilian I, 1493-1519', '1459-1519', 'Holy Roman Emperor', 'Holy Roman Empire', '823Y8D1866', 'English fiction', 'History'}	The dove in the eagles nest	1866
Aguilar Grace	B83	{9001529, 5000836}	{'nyp.33433074945910'}		{'Inquisition', 'Ferdinand and Isabella, 1479-1516', 'History', 'Spain'}	The vale of cedars or The martyr	1847
MacGill Patrick	B5231	{2435699, 9112390}	{'inu.39000000391446', 'nyp.33433074875596'}	{'Historical fiction'}	{'Boardinghouses', 'Glasgow', 'Women immigrants', 'Scotland', 'Prostitutes', 'Irish', 'Poor women'}	The ratpit	1915
Altsheler Joseph A Joseph Alexander	B86	{8840560, 6794467}	{'nyp.33433074946132'}		{'French and Indian War, 1755-1763', 'French and Indian war, 1755-1763', 'History'}	A soldier of Manhattan and his adventures at Ticonderoga and Quebec	1899
Cooper James Fenimore	B1927	{8720962}	{'njp.32101079670293'}	{'Western stories', 'Bibliographies', 'Historical fiction'}		The prairiea tale	1836
Evans Augusta J Augusta Jane	B2596	{9458182}	{'uc1.b4102284'}	"{""Publishers' bindings (Binding)"", 'United States'}"	{'History', 'Civil War, 1861-1865'}	Macaria	1864
Merwin Samuel	B5544	{6763235}	{'nyp.33433076045693'}	{'History'}	{'To 1763 (New France)', 'History'}	The road to Frontenac	1901
Farrar F W Frederic William	B2811	{8926623}	{'uc1.$b112762', 'uc1.$b112761'}		{'Nero, 54-68', 'History', 'Rome'}	Darkness and dawn or Scenes in the days of Nero	1891
Dumas Alexandre	B2404	{4089860}	{'uva.x030742958'}		{'History', 'Francis II, 1559-1560'}	The horoscope	1870
Maberly	B5847	{8408339}	{'uiuo.ark+=13960=t47p9h881'}		{'Medici, House of', 'History', 'Florence (Italy)'}	Melanthe or The days of the Me	1843
Dickson Harris	B2194	{6812392, 8877489}	{'nyp.33433074811245'}	{'History'}	{'Louis XIV, 1643-1715', 'History'}	The black wolfs breed a story of France in the Old world and the New happening in the reign of Louis XIV	1899
Rayner Emma	B7113	{8869873}	{'uc2.ark+=13960=t6ww7cm0r'}		{'History', 'New York (N.Y.)'}	Free to serve	1897
Murray Eustace Clare Grenville	B5833	{8510764}	{'uiuo.ark+=13960=t13n2sk5v'}		{'Second Empire, 1852-1870', 'France', 'History'}	The member for Paris	1871
QuillerCouch Arthur Thomas Sir	B6845	{8899940, 6822557}	{'uc2.ark+=13960=t2k64k49c'}		{'History', 'United States', 'French and Indian War, 1754-1763'}	Fort Amity	1904
Newbolt Henry John Sir	B6168	{8926642, 3281143}	{'uc2.ark+=13960=t9m32wm7v'}		{'Richard II, 1377-1399', 'Great Britain', 'History'}	The new June	1909
Harris Joel Chandler	B4056	{8879473, 6758300}	{'nyp.33433076088305'}	{'History'}		On the wing of occasions being	1900
Chesnutt Charles W Charles Waddell	B1424	{8902136}	{'nc01.ark+=13960=t50g4wj3w'}		{'North Carolina', 'Economic conditions', 'Race relations', 'Veterans', 'United States', 'Racism', 'Southern States', 'City and town life', 'Civil War, 1861-1865', 'Failure (Psychology)', 'Rich people', 'African Americans', 'Social conditions', 'History'}	The colonels dream	1905
Cable George Washington	B1353	{6733304}	{'mdp.39015005354504'}		{'History', 'Civil War, 1861-1865'}	Strange true stories of Louisiana	1889
Sherwood Mary Martha 17751851 Mrs	B7429	{9028641}	{'njp.32101064630062'}	{'Juvenile audience'}	{'Juvenile fiction', 'History'}	The mirror of maidens in the days of Queen Bess	1851
Trollope Anthony	B8169	{8519142}	{'uc1.b4104233'}		{'19th century', 'Australia', 'Social life and customs', 'Frontier and pioneer life', 'History', 'British'}	Harry Heathcote of Gangoil A tale of Australian bush life	1874
Crockett S R Samuel Rutherford	B1782	{3167331}	{'uc2.ark+=13960=t7br8vh9v'}		{'English fiction', 'Covenanters', '17th century', 'History', 'Scotland'}	The men of the Moss Hags	1895
Parrish Randall	B6505	{8915911}	{'nnc1.cu58326820'}		{'French and Indian War, 1755-1763', 'History', 'United States', 'French and Indian War, 1754-1763'}	A sword of the old frontiera tale of Fort Chartres and Detroit	1905
Gresley W William	B3035	{8232383}	{'mdp.39015063553161'}		{'Puritan Revolution, 1642-1660', 'History'}	The siege of Lichfield a tale illustrative of the great rebellion	1840
Thackeray William Makepeace	B8193	{8647252}	{'uc2.ark+=13960=t42r3tw8p'}	{'Novel'}	{'George II, 1727-1760', '1811-1863', 'Dictionaries, indexes, etc', 'Thackeray, William Makepeace', 'French and Indian War, 1755-1763', 'Revolution, 1775-1783', 'History', 'French and Indian War, 1754-1763'}	The Virginians a tale of the last century	1859
graf Tolstoy Aleksey Konstantinovich	B9105	{3226265}	{'mdp.39015031896759'}		{'Ivan IV, 1533-1584', 'History'}	A prince of outlaws	1875
L E L Letitia Elizabeth Landon	B4782	{8890125, 5219469, 6190903}	{'njp.32101068972742'}	{'Bibliographies'}	{'Louis XIV, 1643-1715', 'Commonwealth and Protectorate, 1649-1660', 'History'}	Francesca Carrara	1834
Smith Alice Prescott Mrs	B7533	{6818583}	{'nyp.33433076033947'}		{'History', 'French and Indian War, 1754-1763'}	Montlivet	1906
Paterson Arthur	B6668	{8877744}	{'uc2.ark+=13960=t54f1pf7r'}		{'William and Mary, 1689-1702', 'Great Britain', 'History'}	The kings agent	1902
Fitzpatrick Thomas	B2765	{9214620}	{'nyp.33433075727481'}		{'1649-1660', 'History'}	The king of Claddagha story of the Cromwellian occupation of Galway	1899
Stevenson Robert Louis	B7821	{9336498}	{'uva.x000181264'}	{'Historical fiction'}	{'18th century', 'Kidnapping', 'History'}	Kidnapped being memoirs of the adventures of David Balfour in the year 1751	1890
Lang Andrew	B4938	{8837485, 3164829}	{'uc2.ark+=13960=t1dj5dq8f'}		{'Joan', 'France', '1412-1431', 'Charles VII, 1422-1461', 'History', 'of Arc, Saint'}	A monk of Fife	1896
Dickens Charles	B2108	{8526331}	{'uc1.32106011757181', 'mdp.39015014667003'}	{'Bibliographies', 'Bildungsromane'}	{'Revenge', 'Orphans', 'Social conditions', 'Young men', 'Revolution, 1789-1799', 'Man-woman relationships', '19th century', 'England', 'Ex-convicts', 'Social life and customs', 'Benefactors', 'History'}	Great expectations	1850
Major Charles	B5337	{8977454}	{'mdp.49015000541525'}		{'History', 'Elizabeth, 1558-1603'}	Dorothy Vernon of Haddon Hall	1902
Gibson Charles B Charles Bernard	B3038	{8682099}	{'mdp.39015063870243'}		{'To 1603', 'Fitzgerald, James Fitzthomas', 'History', 'd. 1608'}	The last earl of Desmond a historical romance of 15991603	1854
Jokai Mor	B4325	{8849686}	{'uc1.32106010905542'}		{'Janizaries', '1741-1822', 'History', 'Ali, pasha of Janina', 'Mahmud II, 1808-1839'}	The lion of Janina or The last days of the Janissaries a Turkish novel	1898
Cahan Abraham	B1700	{6819237, 9428943}	{'uc2.ark+=13960=t0zp3ww1d'}		{'Russia', 'Alexander II, 1855-1881', 'History'}	The white terror and the red	1905
WhyteMelville G J George John	B8799	{8524263}	{'uc2.ark+=13960=t5q81dg02'}		{'La Valli????re, Louise de', 'France', 'History', '1644-1710', 'Louis XIV, 1643-1715'}	Sister Louise	1876
Ludlow James M James Meeker	B5044	{8885475}	{'uva.x030758867'}		{'History', '586 B.C.-70 A.D', 'Jews', 'Maccabees'}	Deborah a tale of the times of Judas Maccabeens	1901
Pottinger Henry	B6729	{6701677}	{'uiuo.ark+=13960=t43r1hn5x', 'uiuo.ark+=13960=t5m90vz2q', 'uiuo.ark+=13960=t3kw62633'}		{'To 1453', 'Istanbul (Turkey)', 'History'}	Blue and green or The gift of God	1879
Adam Juliette	B172	{3172009, 6805141}	{'uc2.ark+=13960=t6445n076'}		{'Second Empire, 1852-1870', 'France', 'History', 'IsBiographical'}	My literary life	1904
De Forest John William	B2164	{8500512, 4382121, 8773746}	{'nc01.ark+=13960=t3mw2v80v'}		{'United States', 'History', 'Civil War, 1861-1865'}	Miss Ravenels conversion from secession to loyalty	1867
Sabatini Rafael	B7420	{3202420}	{'mdp.39076005385476', 'mdp.39076005385484'}		{'History', '(OCoLC)fst00958235'}	The historical nights entertainment	1917
Robinson Emma	B7039	{4980864}	{'uc1.b4104307'}		{'Civil War, 1642-1649', 'History'}	Whitehall or The days of Charles the firstan historical romance	1853
Neale J M John Mason	B6183	{8637673}	{'uva.x030809870'}		{'History', 'Cyprian', 'Saint, Bishop of Carthage'}	The farm of Aptonga a story of the time of S Cyprian	1866
Scott Walter Sir	B7463	{5017772}	{'nyp.33433075744494'}	{'Bibliographies'}	{'Great Britain', 'Commonwealth and Protectorate, 1649-1660', 'History'}	Woodstock or The cavalierA tale of the year sixteen hundred and fiftyone	1826
Lyle Eugene P Eugene Percy	B4944	{9286660}	{'uc2.ark+=13960=t27941g0t'}		{'Mexico', 'History', 'European intervention, 1861-1867'}	The Missourian	1905
Glasgow Ellen Anderson Gholson	B3340	{6805130}	{'uva.x004274278'}		{'History', 'Civil War, 1861-1865'}	The battleground	1902
Dickson Harris	B2534	{6812392, 8877489}	{'nyp.33433074811245'}	{'History'}		The black wolfs breed a story	1899
Conner Rearden	B1661	{3233517}	{'uc1.$b56405'}		{'1920-', 'History'}	Shake hands with the devil	1934
Manning Anne	B5474	{4994546, 9159042}	{'nyp.33433074899000'}		{'Osborne, Edward', 'London (England)', 'History', '1530?-1591', '16th century'}	The colloquies of Edward Osborne citizen and clothworker of London	1860
Sienkiewicz Henryk	B7298	{3170310}	{'mdp.39015033132625', 'coo.31924014271260', 'mdp.39076007044808', 'uiuo.ark+=13960=t5bc3x12s'}	{'Historical fiction'}	{'Translations into Greek, Modern', 'Greek fiction', 'Polish fiction', 'Church history', 'Primitive and early church, ca. 30-600', 'Rome', 'Fiction in Polish, 1795-1919 - English texts', 'Nero, 54-68', 'History', 'Translations from Polish'}	Quo vadis	1896
Montagu Violette M	B5236	{6847150}	{'loc.ark+=13960=t4rj54j5c'}		{'Mme', 'Friends and associates', 'Court and courtiers', 'Biography', 'France', '1789-1815', 'Napoleon', '1769-1821', 'Nobility', '1752-1822', '(Jeanne-Louise-Henriette)', 'Campan', 'Louis XVI, 1774-1793', 'IsBiographical', 'History', 'Emperor of the French'}	The celebrated Madame Campan	1914
Fraser Hugh Mrs	B2674	{8949326}	{'mdp.39015010807835', 'mdp.39015010807827'}	{'Biography', 'Autobiography', 'History'}	"{'-1922', 'Description and travel', 'Fraser, Hugh', 'Biography', 'Mrs', ""Diplomats' spouses"", 'Social life and customs', 'History'}"	A diplomatists wife in many lands	1910
James G P R George Payne Rainsford	B4236	{5125664, 8690685}	{'nyp.33433074869128', 'mdp.39015036640459'}		{'1457-1482', 'Marie', 'Duchess of Burgundy', 'History'}	Mary of Burgundy or The revolt of Ghent	1833
Benson B K Blackwood Ketcham	B479	{9235632, 6833166}	{'njp.32101064787755'}	{'History'}	{'History', 'Civil War, 1861-1865'}	A friend with the countersign	1901
