index	author	title	price	wordcount	rows	avgsent
1+8421	PORTER, GENE (STRATTON) (MR8 CHARLES DARWIN PORTER).	Daughter of the land.	0	2290	8428	3.41875
1+10741	WARD, MARY AUGUSTA (ARNOLD) (MRS HUMPH RY WARD).	Elizabeth's campaign.	1.5	4700	10752	3.4458333333333333
1+1976	CHAMBERS, ROBERT WILLIAM.	Laughing ' girl.	1.6	1890	1980	2.9799999999999995
1+2870	DEJEANS, ELIZABETH (JANES) (MRS SID- NEY BUDGETT).	Nobody’s child.	1.5	5390	2885	3.3625
1+8689	REEVE, ARTHUR BENJAMIN.	Panama plot.	0	210	8691	3.6333333333333333
1+5396	IRWIN, WALLACE ADMAH.	Venus in the East.	1.5	310	5399	3.7249999999999996
1+8109	PERCIVAL, DOROTHY. (30)	Lane	0	720	8113	3.6700000000000004
1+1274	BOWEN, MARJORIE, pseud. (MRS GABRI- ELLE MARGARET [CAMPBELL] LONG)	Third estate.	1.75	1720	1279	3.0749999999999997
1+5377	INGERSOLL, WILL E.	Road that led home.	1.35	2780	5383	3.492857142857143
1+713	BARRY, ALFRED SCOTT, pleud.	Little girl who couldn't-get-over-it.	1.6	980	717	3.78
1+4363	GRAY, JOSLYN.	Elsie Marley, honey.	0.35	390	4365	2.8166666666666664
1+11458	WYLLARDE, DOLF.	Pathetic snobs.	1.5	3070	11473	3.79375
1+2388	COOKE, MORRIS LLEWELLYN.	Our cities awake.	2.5	1280	2391	3.3375000000000004
1+7585	NEMIROVICH-DANTCHENKO, VLADIMIR IVANOVICH.	Peasant tales of Russia; tr.	1.25	430	7587	3.6666666666666665
1+2506	COUPERUS, LOUIS MARIE ANNE.	Dr Adriaan; tr.	1.5	3300	2510	3.6
1+3703	FOOTE, .CHARLES ELMER.	Practical road building.	1.25	160	3707	3.6700000000000004
1+10693	WALLER, MARY ELLA.	Out of the silences.	1.5	1920	10699	3.1285714285714286
1+4631	HARBEN, WILLIAM NATHANIEL.	Hills of 2 refuge.	0	360	4631	3.0
1+7387	MORRISON, MICHAEL A.	Sidelights on Ger- many.	1.0	1000	7389	2.966666666666667
1+8792	RIDEOUT, HENRY MILNER.	Tin Cowrie ' Dass.	1.25	540	8794	3.8166666666666664
1+11143	WHITEHEAD, HAROLD.	Dawson Black: re- tail merchant.	1.5	820	11146	3.8625
1+872	BENNETT, ARNOLD. (1%0)	Doran	0	12190	886	2.4600000000000004
1+3969	GATLIN, DANA.	Full measure of devotion.	0.5	210	3970	4.0
1+9416	SHEDD, GEORGE CLIFFORD.	Invisible en- emy.	1.4	840	9419	3.4749999999999996
1+4897	HERGESHEIMER, JOSEPH.	Gold and iron.	1.5	2840	4901	3.6
1+8221	PHILLPOTTS, EDEN.	Chronicles of St Tid.	1.5	4640	8233	3.880769230769231
1+279	ANDERSON, ROBERT GORDON.	Cross of ﬁre.	1.5	310	280	3.725
1+5320	HURRELL, F. G.	Dreamer under arms.	1.5	3110	5333	3.3678571428571433
1+11517	YOUNG, F. E. MILLS.	Laws of chance.	0	720	11521	3.0699999999999994
1+1286	BOWER, B. M., pseud. (BERTHA MUZZY SIN- : CLAIR) (MRS BERTRAND WILLIAM SIN- CLAIR).	Skyrider. ll '$1.40 (2c) Little	0	460	1287	2.225
1+8848	RINEHART, MRS MARY (ROBERTS).	Twenty-three and a half hours' leave.	0	710	8851	3.8625
1+3807	FREEMAN, MARY ELEANOR (WILKINS) (MRS CHARLES MANNING FREEMAN).	Edgewater people.	1.35	2290	3810	3.3625
1+1105	BLASCO IBANEZ, VICENTE.	Four horsemen of the Apocalypse (Los cuatro Jlnetes del Apocalipsis); auth.	0.9	6210	1116	3.5749999999999997
1+9457	SHORTT, VERE DAWSON, and MATHEWS. MRS FRANCES H. (SHORTT).	Rod of the snake.	0	2890	9465	3.211111111111111
1+10276	TINAYRE, MME MARCELLE (CHASTEAU).	To arms!	1.5	1860	10285	3.59
1+2735	DAVIS, ARTHUR NEWTON.	Kaiser as i know him.	0	1580	2744	3.325
1+5654	KELLER, ALBERT GALLOWAY.	Through war to peace.	1.25	3410	5662	3.5833333333333335
1+6510	LUTZ, GRACE LIVINGSTON HILL (MRS FLAVIUS J. LUTZ).	Witness. “1.40 (10)	0	970	6513	3.3625
1+8441	POST, MELVILLE DAVISSON.	Uncle Abner, master of mysteries.	1.5	210	8443	3.8166666666666664
1+2559	CRAPSEY, ADELAIDE.	English metrics.	1.0	2120	2563	3.69
1+1801	CAMERON, WILLIAM ERNEST (MARK AL- LERTON, pseud.).	Lady of St Luke's.	1.4	250	1803	3.3000000000000003
1+209	ALLEN, MRS IDA COGSWELL (BAILEY).	Mrs Allen's cook book; with an introd.	2.0	660	216	3.68125
1+6227	LEVERAGE, HENRY.	Whispering wires.	1.5	360	6228	3.45
1+6104	LAW, FREDERICK HOUK, ed.	Modern short stories.	0	1330	6108	3.69
1+9234	SAVINKOV, BORIS (ROPSHIN, peeud.).	What never happened; tr.	1.6	4900	9249	3.578125
1+6597	MAOCONNELL, SARAH WARDER.	Many mansions.	0	1210	6601	3.69
1+9466	SIDGWICK, CECILY (ULLMANN) (MRS AL- FRED SIDGWICK).	Devil's cradle.	1.5	1480	9471	3.483333333333333
1+9546	SMITH, ANNIE S. (SWAN) (MRS BURNETT SMITH).	Engiishwoman's home.	1.35	1670	9551	3.7249999999999996
1+2511	COUPERUS, LOUIS MARIE ANNE.	Old peo Is and the things that pass; tr.	1.5	3430	2517	3.6357142857142857
1+5309	HUNTINGTON, HELEN MANCHESTER (GATES) (MRS ARCHER MILTON HUNT- INGTON).	Eastern red.	1.6	4760	5319	3.2045454545454546
1+7676	NORRIS, KATHLEEN (THOMPSON) (MR8 CHARLES GILMAN NORRIS).	Josselyn's wife.	0	2710	7685	2.825
1+3639	FLATAU, DOROTA.	Yellow souls.	0	2410	3648	3.29
1+3353	EVANS, MARY ELIZABETH (MARY ELIZA- BETH, pseud.).	Mary Elizabeth‘s war time recipes.	1.25	230	3357	3.56
1+6313	LOCKE, WILLIAM JOHN.	Rough road.	1.5	6880	6331	3.568421052631579
1+9607	SNAITH, JOHN COLLIS.	Time spirit; a.	1.5	4370	9615	3.755555555555556
1+7951	PACKARD, FRANK LUCIUS.	Wire devils.	1.35	920	7954	3.3625
1+10566	VANCE, LOUIS JOSEPH.	False faces.	1.4	6730	10592	3.3185185185185184
1+7941	OSTRANDER, ISABEL EGENTON. '$1.40	McBride 18-9776	0	900	7950	3.425
1+8725	RICE, ALICE CALDWELL (HEGAN) (MRS CALE YOUNG RICE).	Miss Mink's sol- dier.	1.25	660	8729	3.5799999999999996
1+11451	WYLIE, IDA ALENA ROSS.	Towards morning.	1.5	1710	11457	3.1928571428571426
1+490	AYSCOUGH, JOHN, pseud. BP. FRANCIS BROWNING DREW	Bl KERS‘I'AFFE- DREW).	1.5	1200	494	3.1799999999999997
1+3855	FROTHINGHAM, EUGENIA BROOKS.	Find- ing of Norah.	0.76	2110	3863	3.5944444444444446
1+3443	FARNOL, JEFFERY.	Our admirable Betty.	0	3690	3452	3.59
1+3619	FISHER, DOROTHEA FRANCES (CAN- FIELD) (MRS JOHN REDWOOD FISHER).	Home fires in France.	0	4680	3631	3.7615384615384615
1+11102	WHITE, WILLIAM ALLEN.	Martial adven- tures of Henry and me.	1.5	6770	11115	3.667857142857143
1+3867	FULLER, HENRY BLAKE.	On the stairs.	1.5	4890	3875	3.3833333333333333
1+11081	WHITE, STEWART EDWARD.	Simba. "1.40	0	2550	11093	3.530769230769231
1+10808	WATSON, E. L. GRANT.	Mainland. °$l.50	0	3440	10815	3.79375
1+826	BELL, JOHN JOY.	Johnny Pryde.	0	700	832	3.6857142857142855
1+4081	GIBSON, PRESTON.	Battering the Boche.	1.0	430	4086	3.3166666666666664
1+10816	WATSON, E. L. GRANT.	Where bonds are loosed.	0.5	3610	10821	3.2416666666666667
1+8137	PERTWEE, ROLAND.	Transactions of Lord Louis Lewis.	1.5	470	8140	3.8625
1+895	BENSON, EDWARD FREDERIC.	Autumn sowing.	1.35	3690	904	3.6900000000000004
1+3028	DODGE, HENRY IRVING.	Skinner’s big idea.	0	260	3032	3.6700000000000004
1+1955	CERVANTES SAAVEDRA, MIGUEL DE.	Rin- conete and Cortadlllo.	0	2250	1962	3.2375
1+8701	REYNOLDS, GERTRUDE M. (ROBINS) (MRS LOUIS BAILLIE REYNOLDS).	Lonely stronghold.	1.35	1830	8710	3.5800000000000005
1+5861	KNIBBS, HENRY HERBERT.	Tang of life.	0	2030	5871	3.4863636363636363
1+8512	PRYCE, RICHARD.	Statue in the wood.	1.5	5000	8522	3.3454545454545457
1+4049	GIBBS, GEORGE FORT.	Golden bough.	1.5	1510	4054	2.983333333333333
1+11503	YOUNG, F. E. MILLS.	Beatrice Ashleigh.	1.5	690	11506	2.725
1+10469	TURNER, JOHN HASTINGS.	Simple souls.	0	330	10472	3.8625
1+8360	POOLE, ERNEST.	His second wife.	0	6170	8369	3.135
1+1436	BROWN, ALICE.	Flying Teuton.	0	2550	1444	3.938888888888889
1+1626	BURR, AMELIA JOSEPHINE.	Silver trumpet.	0	980	1631	3.15
1+2216	CLOUSTON, JOSEPH STORER.	Spy in black.	0	1110	2222	3.621428571428571
1+11429	WRIGHT, WILLARD HUNTINGTON, ed.	Great modern French stories.	0	2740	11438	3.6900000000000004
1+1981	CHAMBERS, ROBERT WILLIAM.	Restless sex.	1.5	2630	1986	3.0749999999999997
1+10271	TILLIER, CLAUDE.	My Uncle Benjamin.	1.6	1290	10275	3.69
1+4213	GOODWIN, ERNEST.	Caravan man.	0.5	1630	4222	3.6350000000000002
1+191	ALLEN, CALVIN FRANCIS.	Business law for engineers.	0	550	196	3.8166666666666664
1+3548	FERGUSON, JOHN ALEXANDER.	terror. ii “1.40 (1%c) Lane 18-7924	0	1060	3556	3.5444444444444443
1+5516	JOHNSON, OWEN MCMAHON.	Virtuous wives.	1.5	3680	5522	2.6214285714285714
1+3321	ENDICOTT, RUTH BELMORE.	Carolyn of The Corners.	0.35	870	3324	3.1125
1+4613	HANNAY, JAMES OWEN (GEORGE A. BIR- MINGHAM, pseud.).	Island mystery.	1.5	3570	4624	3.2708333333333335
1+4253	GOULD, NATHANIEL.	Rider in khaki.	0	1010	4257	2.2
1+9340	SCOTT, LEROY.	Mary Regan.	1.5	670	9342	2.8166666666666664
1+660	BARR, MRS AMELIA EDITH (HUDDLE- STON).	Orkney maid.	1.5	1180	663	3.5875000000000004
1+1724	CAINE, WILLIAM.	Three's a.	1.5	2090	1728	3.09
1+4970	HILL, FRANCIS.	Once on the summer range.	1.5	1120	4973	3.6125
1+6838	MCSPADDEN, JOSEPH WALKER, ed.	Famous ghost stories.	0	330	6841	3.725
1+10796	WARWICK, ANNE, pseud. (MRS RUTH [CRANSTON] NEWLIN).	Best pe0ple.	0	1090	10802	3.492857142857143
1+9423	SHELDON, CHARLES MONROE.	Howard hase, Red Hill, Kansas.	1.25	580	9426	3.6125
1+2442	CORKERY, DANIEL.	Threshold of quiet.	1.5	3630	2457	3.646875
1+8409	PORTER, MRS ELEANOR (HODGMAN) (ELEANOR STUART, pseud.).	money! money! ii “1.50 (1%c) Houghton	0	2880	8420	3.7791666666666672
1+4503	HAGGARD, SIR HENRY RIDER.	Love eter- nal.	1.5	4030	4511	3.038888888888889
1+427	ATHERTON, MRS GERTRUDE FRANKLIN HORN).	White morning.	0	4660	439	2.8730769230769226
1+10972	WEST, HENRY LITCHFIELD.	Federal power: its growth and necessity.	1.5	3310	10977	3.483333333333333
1+5480	JENKINS, BURRIS ATKINS.	It happened ' "over there." ll '$l.25 (4%c) Revel] 19-140	0	420	5482	3.6333333333333333
1+9928	SUDERMANN, HERMANN.	Iolanthe's wed- ! ding; tr.	1.25	260	9931	3.6125
1+10555	VALLOTTON, BENJAMIN.	Potterat and the war.	1.5	3240	10565	3.7181818181818183
1+1263	BOTTOME, PHYLLIS.	Helen of Troy, and 1 Rose.	0	1820	1273	3.5772727272727276
1+7030	MARTIN, HELEN REIMENSNYDER (MRS FREDERIC C. MARTIN).	MaB‘B'ie of Vir- ginsburg.	1.4	960	7033	2.975
1+317	ANDREWS, MARY RAYMOND SHIPMAN (MRS WILLIAM SHANKLAND AN- DREWS).	Her country.	0	250	320	3.7249999999999996
1+6419	LOWNDES, MARIE ADELAIDE (BELLOC) MRS FREDERIO SAWREY-LOWNDES . ove	hatred. '81.40 (1c) Doran 17-303 1	0	2530	6426	2.80625
1+2631	CROY, HOMER.	Boone Stop.	1.5	580	2633	3.15
1+6380	LOUTIL, EDMOND (PIERRE L'ERMITE, ' pseud.).	Alberta: adventuress; tr.	1.86	2850	6391	3.4000000000000004
1+4547	HALL, MRS FLORENCE MARION (JHOWE). ’	Memories, grave and gay.	0	750	4547	3.45
1+7866	OPPENHEIM, EDWARD PHILLIPS.	Zeppe- lln's passenger.	1.5	2810	7871	3.225
1+5796	KING, BASIL.	Abraham's bosom.	0	1940	5801	2.983333333333333
1+11195	WILLIAMS, BLANCHE COLTON, ed.	Book of short stories.	0	570	11196	3.45
1+953	BERGER, MARCEL, and BERGER, MAUDE.	Secret of the Marne how Sergeant Fritsch saved France.	1.5	1180	962	3.725
1+6682	MACGRATH, HAROLD.	Girl in his house.	1.25	890	6686	3.8899999999999997
1+3741	FOX, FRANCES BARTON.	Heart of Arethusa.	0	1000	3746	3.466666666666667
1+6345	LONDON, JACK.	Red one.	1.4	2600	6349	3.78
1+341	ANGELLOTTI, MARION POLK.	Fireﬂy of France.	0	1550	347	3.7142857142857144
1+5046	HODGSON, RALPH.	Last blackbird, and other lines.	0	1100	5051	3.2416666666666667
1+4388	GREY, ZANE. U. P.	il °$l.50 (1c) Har-	0	2330	4396	3.372222222222222
1+10924	WELLS, HERBERT GEORGE.	Joan and Peter.	1.75	16880	10944	2.8476190476190473
1+627	BARBUSSE, HENRI.	We others: tr.	1.5	1360	633	3.2714285714285714
1+5279	HUGHES, RUPERT.	Unpardonable sin.	1.6	2140	5283	3.09
1+1839	CANNAN, GILBERT.	Stucco house.	0	5000	1848	3.135
1+2140	CLARK, BARRETT HARPER, ed.	European ' theories of the drama.	0	2910	2141	3.725
1+4674	HARRIS, CORRA MAY (WHITE) (MRS LUNDY HOWARD HARRIS).	Making her his wife.	1.3	1170	4679	3.0583333333333336
1+6047	LATZKO, ADOLF ANDREAS.	Men in war.	1.5	7400	6059	3.4038461538461537
1+1061	BLACKWOOD, ALGERNON.	Promise of air.	0	8220	1078	3.125
1+9441	SHIELDS, GERTRUDE MARGARET.	Caste three.	0	1310	9445	2.7800000000000002
1+4893	HENRY, 0., pseud. (WILLIAM SYDNEY POR- TER)	Ransom of Red Chief.	1.35	150	4896	3.725
1+929	BERESFORD, JOHN DAVYS.	God's counter- point.	0.5	3670	935	2.8428571428571425
1+6655	MACFARLANE, PETER CLARK.	Crack in the * hell.	0	280	6656	3.5
1+1502	BRYANT, MRS LORINDA (MUNSON . Fa- mous	of real animals. l '81.50 (5%c) Lane 758 18-22025	0	730	1506	3.29
1+1634	BURR, JANE, pseud.	Glorious hope.	1.5	1720	1638	3.09
1+6427	LOWNDES, MARIE ADELAIDE (BELLOC) (MRS FREDERIC SAWREY-LOWNDES).	Red cross barge.	1.26	1400	6431	3.38
1+8754	RICHARDS, MRS LAURA ELIZABETH (HOWE).	Daughter of Jehu.	1.5	580	8758	3.4899999999999998
1+6276	LINCOLN, NATALIE SUMNER.	Three strings.	1.5	480	6278	2.8166666666666664
1+6487	LUTHER, MARK LEE.	Hope chest.	1.5	1660	6491	3.8899999999999997
1+4512	HAGGARD, SIR HENRY RIDER.	Moon of Is- ' raei; a tale of the exodus.	1.5	2850	4517	3.483333333333333
1+4180	GLASS, MONTAGUE MARSDEN.	Worrying won't win.	1.5	1330	4185	3.65
1+5561	JORDAN, ELIZABETH GARVER.	Win s of youth.	0.4	2070	5569	3.7055555555555557
1+7850	OPPENHEIM, EDWARD PHILLIPS.	Curious 2 quest.	1.5	2090	7853	3.8625
1+3185	DUNCAN, NORMAN.	Harbor tales North.	1.35	660	3186	3.725
1+2655	CULLUM, RIDGWELL.	Triumph of John Kars.	1.4	350	2659	3.56
1+5111	HOLT, LEE.	Green and gay.	1.4	650	5117	3.3999999999999995
1+5497	JOHNSON, CLIFTON.	Highways and byways ’ of Florida.	2.0	310	5499	3.6333333333333333
1+8713	RICCI, LEWIS ANSELM DA COSTA (BAR- TIMEUS, pleud.).	Long trick.	0	2560	8724	3.741666666666667
1+3708	FOOTE, JOHN TAINTOR.	Lucky seven.	0	1790	3717	3.745
1+19	ABBOTT, LYMAN.	Twentieth century crusade.	0.6	520	23	3.6700000000000004
1+9965	SWAYNE, MARTIN LUTRELL.	Blue germ.	1.5	810	9972	3.28125
1+6272	LINCOLN, NATALIE SUMNER.	Moving i'lnger.	1.4	720	6275	4.0
1+4647	HARKER, MRS LIZZIE ALLEN.	Children of the dear Cotswolds.	1.5	220	4649	3.8166666666666664
1+2392	COOLIDGE, GRACE.	Teepee neighbors.	1.5	1210	2400	3.8777777777777778
1+4539	HALL, AMANDA BENJAMIN.	Little red house in the hollow.	1.35	350	4541	3.6333333333333333
1+2827	DAWSON, WILLIAM JAMES.	Father of a soldier.	1.0	2220	2837	3.536363636363636
1+10869	WEBSTER, HENRY KITCHELL.	American family; a novel of to-day.	1.5	1510	10875	3.764285714285714
1+7588	NEPEAN, EVELYN MAUD (REID) (MR8 EVAN NEPEAN).	My two kings.	0.5	900	7595	3.6125
1+9791	STERRETT, FRANCES ROBERTA.	sixth. ii “1.50 (2c) Appleton 18-20479	0	770	9793	3.4500000000000006
1+6079	LAUGHLIN, CLARA ELIZABETH.	Ke s of heaven.	50.0	680	6081	3.15
1+2414	COPPLESTONE, BENNET.	Lost naval papers.	0	2550	2426	3.334615384615385
1+720	BARTON, BRUCE.	Making of George Groton.	1.4	5320	737	3.4222222222222225
1+3918	GALSWORTHY, JOHN.	Five tales.	1.6	11920	3945	3.6375
1+1053	BLACKWOOD, ALGEHNON.	Garden of sur- vival.	0	2730	1060	3.54375
1+7003	MARSHALL, ARCHIBALD.	Richard Baldock.	1.5	2860	7007	3.8899999999999997
1+2703	DANE, CLEMENCE.	First the blade; a comedy of growth.	1.5	3060	2713	3.354545454545455
1+7805	OLLIVANT, ALFRED.	Boy Woodburn.	1.4	2750	7817	3.565384615384616
1+4668	HARRADEN, BEATRICE.	Where your heart ’ is.	1.5	2370	4673	3.0583333333333336
1+1130	BLEACKLEY, HORACE WILLIAM (TIVOLI, pseud.).	His Job.	0	1280	1134	3.8
1+5288	HUNT, EDWARD EYRE.	Tales from a fam- ished land.	1.25	1200	5294	3.685714285714286
1+9430	SHEPHERD, WILLIAM GUNN.	Scar that tripled; a true story of the great war.	0	280	9433	3.725
1+3170	DUMAS, ALEXANDRE.	Neapolitan lovers; tr.	1.4	1780	3174	3.5799999999999996
1+1578	BUFFUM, GEORGE TOWER.	11 '$1.35 (2c) Lothrop 18-9078	0	610	1582	3.29
1+11201	WILLIAMS, EARL WILLOUGHBY.	Court of Beishazzar.	1.5	610	11203	3.8166666666666664
1+7621	NEWTON, W. DOUGLAS.	War cache.	1.4	600	7627	3.8428571428571425
1+6634	MCFADDEN, GERTRUDE VIOLET.	His Grace 1 of Grub street.	1.4	390	6636	3.483333333333333
1+1614	BURNHAM, MRS CLARA LOUISE (ROOT).	Hearts' Haven.	1.5	660	1616	3.3000000000000003
1+10847	WATTS, MARY (STANBERY) (MRS MILES TAYLOR WATTS).	Boardman family.	0.5	4500	10857	3.3045454545454542
1+10889	WEIR, MRS FLORENCE (RONEY).	Merry Andrew.	0.35	370	10892	3.8625
1+643	BARMBY, BEATRICE.	Betty Marchand.	0.4	530	644	3.225
1+10346	TOMPKINS, JULIET WILBOR (MRS JULIET WILBOR TOMPKINS POTTLE).	Girl named Mary.	1.5	2970	10361	3.675
1+4958	HILDRETH, J. H.	Queen's heart.	0.5	2630	4965	3.2375
1+3318	EMPEY, ARTHUR GUY.	Tales from a dug- out.	1.5	240	3320	2.966666666666667
1+1946	CATHER, WILLA SIBERT.	My Antonia.	0	2390	1952	3.9214285714285713
1+10455	TURNER, GEORGE KIBBE.	Biography of a million dollars.	1.5	1580	10462	3.6125
1+5492	JEPSON, EDGAR.	Ann Annington.	0	240	5493	3.225
1+1016	BINDLOSS, HAROLD.	Lure of the north.	1.4	1180	1023	3.6125
1+8552	QUILLER-COUCH, SIR ARTHUR THOMAS (Q, pseud.).	Foe-Farrell; a romance.	0	7920	8566	3.12
1+3811	FRENCH, JOSEPH LEWIS, comp.	Great ghost stories.	1.5	4250	3819	3.533333333333333
1+869	BENNET, ROBERT AMES.	Blond beast.	1.5	930	871	3.8166666666666664
1+4937	HEWLETT, MAURICE HENRY.	Gudrid the Fair: a tale of the discovery of America.	1.35	4240	4949	3.7538461538461543
1+988	BIERCE, AMBROSE.	Can such things be?	1.5	680	990	2.15
1+348	ANTHONY, JOSEPH.	Rekindled fires.	0	4660	360	3.607692307692308
1+2246	CODY, HIRAM ALFRED.	Unknown wrestler.	0	160	2246	3.45
1+4698	HARRIS, JOEL CHANDLER.	Uncle Remus returns.	0	1280	4701	3.7249999999999996
1+7700	NOYES, ALFRED.	Walking shadows.	0	4370	7708	3.322222222222222
1+750	BEACH, REX ELLINGWOOD.	Winds of chance.	0	1220	754	3.38
1+10130	TAYLOR, ALONZO ENGLEBERT.	War bread.	0	350	10134	3.78
1+983	BIANCHI, MARTHA GILBERT (DICKINSON) (MRS ALEXANDER E. BIANCHI).	Point of view.	1.5	2380	987	3.09
1+452	ATKINSON, MRS ELEANOR (STACKHOUSE). I	a dog of Roubaix.	1.25	610	453	3.725
1+6927	MARBO, CAMILLE.	Man who survived; tr.	0.35	2860	6933	3.478571428571428
1+4369	GREENE, FRANCES NIMMO.	Devil to pay.	1.35	1040	4373	3.4
1+3342	EVANS, CARADOC.	Capel Sion.	0	4870	3352	3.122727272727273
1+9754	STEELE, WILBUR DANIEL.	Land's end.	1.35	1460	9756	3.15
1+8826	RINEHART, MRS MARY (ROBERTS).	Amaz- ing interlude.	1.4	4650	8847	3.8295454545454546
1+5648	KELLAND, CLARENCE BUDINGTON.	The source.	0.4	650	5653	3.65
1+1548	BUCK, CHARLES NEVILLE.	When Bear Cat went dry.	0	460	1551	3.5875000000000004
1+1565	BUCKROSE, J. 5., pseud. (MRS ANNIE EDITH [FOSTER JAMESON).	Silent legion.	0.5	1630	1573	3.372222222222222
1+6370	LORIMER, NORMA OCTAVIA.	There was a king in Egypt.	1.4	1880	6375	3.483333333333333
1+4975	HILL, MARION (HILL) (MRS CHARLES R. HILL).	Toll of the road.	1.5	1610	4983	3.5444444444444443
1+771	BECKLEY, ZOE.	'81.60 (ll/5c) Macmillan 18-21376	0	1760	773	3.8166666666666664
1+11094	WHITE, WILLIAM ALLEN.	In the heart of a fool.	1.6	4040	11101	2.93125
1+3528	FENOLLOSA, MARY (MCNEILL) (MR8 ERN- EST FRANCISCO FENOLLOSA) (SIDNEY MCCALL, pseud.).	Sunshine beggars.	1.5	790	3532	3.29
1+2907	DEMENS, INNA.	He who breaks.	1.5	4360	2917	3.436363636363637
1+2981	DILLON, MR8 MARY C. (JOHNSON).	Com- rades.	1.4	1430	2988	3.41875
1+1237	BOSHER, MRS KATE LEE (LANGLEY) (KATE CAIRNS, pseud.).	Kitty Canary.	1.0	710	1242	3.558333333333333
1+2534	CRAIG, MATTHEW, pseud.	Maktoub: s.	1.5	1070	2539	3.391666666666666
1+6680	MACGILL, PATRICK.	Dough boys.	1.5	960	6681	3.45
1+3651	FLETCHER, JOHN GOULD.	Japanese prints.	1.75	1650	3655	2.8899999999999997
1+7818	OLMSTEAD, FLORENCE.	On furlough.	0	650	7823	3.908333333333333
1+6482	LUTES, MRS DELLA THOMPSON).	My boy in khaki.	0	1120	6486	3.4899999999999998
1+7978	PAINE, RALPH DELAHAYE.	Call of the offshore wind.	1.5	1230	7982	3.69
1+8945	ROBINS, ELIZABETH (MRS GEORGE RICH- MOND PARKES) (C. E. RAIMOND, pseud.).	Camilla. ii “1.60 (1c) Dodd	0	6330	8962	3.0944444444444446
